petalID,doi,url,abstract,title,level1,level2,level3,fullDocLink,isOpenAccess
1184,,http://connection.ebscohost.com/c/articles/9008131036/antifreeze-bees,[],[],[],[],[],,
1185,,http://dx.doi.org/10.1126/science.1188761,[],[],[],[],[],,
1186,,http://www.plantphysiol.org/content/153/4/1630,[],[],[],[],[],,
1187,,https://academic.oup.com/icb/article/56/4/500/2198431,[],[],[],[],[],,
1188,,https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj2009.0313,[],[],[],[],[],,
1189,,https://aem.asm.org/content/75/21/6635,[],[],[],[],[],,
1190,,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2011.56.4.1310,[],[],[],[],[],,
1191,,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2011.01890.x,[],[],[],[],[],,
1192,,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2009.01601.x,[],[],[],[],[],,
1193,,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-10-214,[],[],[],[],[],,
1194,,https://jeb.biologists.org/content/207/18/3131,[],[],[],[],[],,
1195,,https://jeb.biologists.org/content/210/15/2593,[],[],[],[],[],,
1196,,https://link.springer.com/article/10.1007%2FBF00610241,[],[],[],[],[],,
1197,,https://link.springer.com/article/10.1007%2FBF00610867,[],[],[],[],[],,
1198,,https://link.springer.com/article/10.1007%2FBF01049065,[],[],[],[],[],,
1199,,https://link.springer.com/article/10.1007%2Fs00226-005-0065-2,[],[],[],[],[],,
1200,,https://link.springer.com/article/10.1007%2Fs00442-012-2575-6,[],[],[],[],[],,
1201,,https://link.springer.com/article/10.1007/s00227-001-0710-8,[],[],[],[],[],,
1202,,https://link.springer.com/article/10.1007/s004420050198,[],[],[],[],[],,
1203,,https://link.springer.com/article/10.1007/s12600-010-0087-7,[],[],[],[],[],,
1204,,https://link.springer.com/article/10.1016/S1672-6529(10)60252-1,[],[],[],[],[],,
1205,,https://nph.onlinelibrary.wiley.com/doi/full/10.1046/j.0028-646X.2001.00299.x,[],[],[],[],[],,
1206,,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-4687%28199710%29234%3A1%3C1%3A%3AAID-JMOR1%3E3.0.CO%3B2-I,[],[],[],[],[],,
1207,,https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201080065,[],[],[],[],[],,
1208,,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.200801256,[],[],[],[],[],,
1209,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2915.2005.00577.x,[],[],[],[],[],,
1210,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2010.01501.x,[],[],[],[],[],,
1211,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00716.x,[],[],[],[],[],,
1212,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00717.x,[],[],[],[],[],,
1213,,https://onlinelibrary.wiley.com/doi/full/10.1002/yea.1148,[],[],[],[],[],,
1214,,https://portlandpress.com/biochemj/article/356/2/503/39283/Novel-barnacle-underwater-adhesive-protein-is-a,[],[],[],[],[],,
1215,,https://pubmed.ncbi.nlm.nih.gov/11060219/,[],[],[],[],[],,
1216,,https://pubmed.ncbi.nlm.nih.gov/15697629/,[],[],[],[],[],,
1217,,https://pubmed.ncbi.nlm.nih.gov/16347678/,[],[],[],[],[],,
1218,,https://pubmed.ncbi.nlm.nih.gov/16944346/,[],[],[],[],[],,
1219,,https://pubmed.ncbi.nlm.nih.gov/30460539/,[],[],[],[],[],,
1220,,https://pubmed.ncbi.nlm.nih.gov/9450976/,[],[],[],[],[],,
1221,,https://pubs.acs.org/doi/10.1021/ja104996y,[],[],[],[],[],,
1222,,https://pubs.acs.org/doi/10.1021/ja1051632,[],[],[],[],[],,
1223,,https://pubs.rsc.org/en/content/articlelanding/1991/NP/np9910800309#!divAbstract,[],[],[],[],[],,
1224,,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2010.1739 ,[],[],[],[],[],,
1225,,https://science.sciencemag.org/content/293/5527/102,[],[],[],[],[],,
1226,,https://www.annualreviews.org/doi/10.1146/annurev-biochem-062608-103436,[],[],[],[],[],,
1227,,https://www.annualreviews.org/doi/abs/10.1146/annurev.micro.51.1.527,[],[],[],[],[],,
1228,,https://www.cell.com/biophysj/fulltext/S0006-3495(09)02408-4,[],[],[],[],[],,
1229,,https://www.cell.com/cell/fulltext/S0092-8674(06)00187-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867406001875%3Fshowall%3Dtrue,[],[],[],[],[],,
1230,,https://www.fs.usda.gov/treesearch/pubs/37429,[],[],[],[],[],,
1231,,https://www.nature.com/articles/247074a0,[],[],[],[],[],,
1232,,https://www.nature.com/articles/47396,[],[],[],[],[],,
1233,,https://www.nature.com/articles/nature00823,[],[],[],[],[],,
1234,,https://www.nature.com/articles/s41467-020-14547-y,[],[],[],[],[],,
1235,,https://www.ncbi.nlm.nih.gov/pubmed/20412310,[],[],[],[],[],,
1236,,https://www.ncbi.nlm.nih.gov/pubmed/26324094,[],[],[],[],[],,
1237,,https://www.researchgate.net/publication/11401207_Bacterial_Surface_Motility_Slime_Trails_Grappling_Hooks_and_Nozzles,[],[],[],[],[],,
1238,,https://www.researchgate.net/publication/230737954_Elements_of_beaked_whale_anatomy_and_diving_physiology_and_some_hypothetical_causes_of_sonar-related_stranding,[],[],[],[],[],,
1239,,https://www.researchgate.net/publication/239919503_Characteristics_and_Impacts_of_Annual_vs_Perennial_Systems,[],[],[],[],[],,
1240,,https://www.researchgate.net/publication/273142268_A_new_study_on_the_structure_and_function_of_the_adhesive_organs_of_the_Old_World_sucker-footed_bat_Myzopoda_Myzopodidae_of_Madagascar,[],[],[],[],[],,
1241,,https://www.researchgate.net/publication/46254430_Mycorrhizal_networks_counteract_competitive_effects_of_canopy_trees_on_seedling_survival,[],[],[],[],[],,
1242,,https://www.sciencedirect.com/science/article/abs/pii/0041010194903905,[],[],[],[],[],,
1243,,https://www.sciencedirect.com/science/article/pii/S0300944006002657,[],[],[],[],[],,
1244,,https://www.sciencedirect.com/science/article/pii/S1095643306000511,[],[],[],[],[],,
1245,,https://www.semanticscholar.org/paper/Advanced-fullerene-type-texture-and-further-of-the-Kaupp/da2ca1fbd3e39ab7c459d6d3963d64877644ce54,[],[],[],[],[],,
1246,,https://www.semanticscholar.org/paper/FEEDING-BEHAVIOR-OF-THE-HUMPBACK-WHALE%2C-MEGAPTERA-Hain-Carter/c3025f98714df5d1d43d93e2743ac4154d5d262f,[],[],[],[],[],,
1247,,https://www.semanticscholar.org/paper/Reduction-of-Wind-and-Swell-Waves-by-Mangroves-McIvor-M%C3%B6ller/6517417f3f1c12190352fce8785c43b85f5784de,[],[],[],[],[],,
1248,,https://www.semanticscholar.org/paper/The-Effects-of-Bushfire-on-Victorian-Epiphytic-and-Adams-Lawson/ba52f539b77f753cabee7530a6e3343b90299b5d#paper-header,[],[],[],[],[],,
1249,,https://www.semanticscholar.org/paper/Theoretical-and-experimental-studies-of-energy-from-Wathen-Mitchell/6cc396489942e6958d605e734b379b59c0cc7865,[],[],[],[],[],,
1250,,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1973.tb04553.x,[],[],[],[],[],,
