,press_release_url,paper_url,doi
91,https://www.sciencedaily.com/releases/2020/04/200408151231.htm,https://elifesciences.org/articles/52187,10.7554/eLife.52187
92,https://www.sciencealert.com/how-bee-brains-could-help-your-camera-take-better-photos,https://www.pnas.org/content/early/2017/06/26/1703454114.full,10.1073/pnas.1703454114
93,https://www.sciencedaily.com/releases/2019/02/190208115304.htm,https://link.springer.com/article/10.1007%2Fs00359-018-01313-1,10.1007/s00359-018-01313-1
94,https://www.sciencedaily.com/releases/2019/03/190306152406.htm,https://www.nature.com/articles/s41467-019-08891-x,10.1038/s41467-019-08891-x
96,https://phys.org/news/2018-09-colour-generation-mechanism-rainbow-weevil.html,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201802328,10.1002/smll.201802328
98,https://www.sciencedaily.com/releases/2020/03/200310124715.htm,https://www.nature.com/articles/s41467-020-15033-1,10.1038/s41467-020-15033-1
99,https://www.uni-kiel.de/pressemeldungen/index.php?pmid=2017-257-libellen&lang=en&pr=1,https://www.sciencedirect.com/science/article/abs/pii/S1742706117304695?via%3Dihub,10.1016/j.actbio.2017.07.034
100,https://scripps.ucsd.edu/news/new-study-reveals-whats-behind-tarantulas-blue-hue,https://advances.sciencemag.org/content/1/10/e1500709,10.1126/sciadv.1500709 
101,https://3dprintingindustry.com/news/3d-printed-biomimicry-of-bone-yields-important-discovery-for-lightweight-and-durable-engineering-166245/,https://www.pnas.org/content/116/49/24457.short?rss=1,10.1073/pnas.1905814116
122,https://www.sgorb.zoologie.uni-kiel.de/?page_id=337,https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0692,10.1098/rsif.2018.0692
138,https://phys.org/news/2020-06-soft-ion-conducting-hydrogel-artificial-tongue.html,https://phys.org/news/2020-06-soft-ion-conducting-hydrogel-artificial-tongue.html,10.1126/sciadv.aba5785
141,https://www.sciencedaily.com/releases/2020/06/200609111050.htm,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11474,10.1002/lno.11474
143,https://www.sciencedaily.com/releases/2020/06/200603132514.htm,https://www.nature.com/articles/s41586-020-2369-7,10.1038/s41586-020-2369-7
146,https://www.sciencedaily.com/releases/2020/06/200604111641.htm,https://msystems.asm.org/content/5/3/e00077-20,10.1128/mSystems.00077-20 
147,https://www.sciencedaily.com/releases/2020/06/200605132429.htm,https://www.nature.com/articles/s41467-020-16600-2,10.1038/s41467-020-16600-2
148,https://www.sciencedaily.com/releases/2020/06/200603132541.htm,https://pubmed.ncbi.nlm.nih.gov/32497502/,10.1016/j.cell.2020.05.005 
149,https://www.sciencedaily.com/releases/2020/06/200603100514.htm,https://www.nature.com/articles/s41467-020-16576-z,10.1038/s41467-020-16576-z
152,https://www.sciencedaily.com/releases/2020/06/200601072957.htm,https://www.nature.com/articles/s41467-020-16578-x,10.1038/s41467-020-16578-x
157,https://www.scientificamerican.com/article/bumblebees-bite-plants-to-force-them-to-flower-seriously/,https://science.sciencemag.org/content/368/6493/881,10.1126/science.aay0496
158,https://news.missouri.edu/2020/bee-thankful-for-the-evolution-of-pollen/,https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1428,10.1002/ajb2.1428
160,https://www.theatlantic.com/science/archive/2018/07/the-electric-flight-of-spiders/564437/,https://www.cell.com/current-biology/fulltext/S0960-9822(18)30693-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982218306936%3Fshowall%3Dtrue,10.1016/j.cub.2018.05.057
175,https://www.sciencedaily.com/releases/2020/04/200428093506.htm,https://www.cell.com/cell-systems/fulltext/S2405-4712(20)30116-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405471220301162%3Fshowall%3Dtrue,10.1016/j.cels.2020.04.002
186,https://www.sciencedaily.com/releases/2020/04/200414084307.htm,https://www.sciencedirect.com/science/article/abs/pii/S0376635719303377?via%3Dihub,10.1016/j.beproc.2020.104118
187,https://www.sciencedaily.com/releases/2020/04/200414122747.htm,https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202000112,10.1002/admi.202000112
193,https://www.sciencedaily.com/releases/2016/06/160601151935.htm,https://www.nature.com/articles/srep26889,10.1038/srep26889
194,https://www.sciencedaily.com/releases/2018/05/180522152123.htm,https://elifesciences.org/articles/34862,10.7554/eLife.34862
195,https://www.sciencedaily.com/releases/2006/10/061024010417.htm,https://www.sciencedirect.com/science/article/pii/S096098220602135X,10.1016/j.cub.2006.08.068
196,https://www.sciencedaily.com/releases/2019/10/191011095910.htm,https://www.nature.com/articles/s41396-019-0494-9,10.1038/s41396-019-0494-9
198,https://www.sciencealert.com/male-dolphins-use-their-individual-names-to-build-complex-social-networks,https://link.springer.com/article/10.1007%2Fs00265-018-2621-4,10.1007/s00265-018-2621-4
199,https://www.sgorb.zoologie.uni-kiel.de/?page_id=337,https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0281,10.1098/rsif.2018.0281
200,https://www.sgorb.zoologie.uni-kiel.de/?page_id=337,https://royalsocietypublishing.org/doi/10.1098/rsif.2018.0246,10.1098/rsif.2018.0246
201,https://www.sgorb.zoologie.uni-kiel.de/?page_id=337,https://royalsocietypublishing.org/doi/10.1098/rsif.2019.0269,10.1098/rsif.2019.0269
205,https://engineering.lehigh.edu/news/article/keith-w-moored-fin-tastic-model,https://royalsocietypublishing.org/doi/10.1098/rsif.2019.0655,10.1098/rsif.2019.0655
208,https://www.sciencedaily.com/releases/2020/02/200225221342.htm,https://royalsocietypublishing.org/doi/10.1098/rsif.2019.0692,10.1098/rsif.2019.0692
209,https://www.sciencedaily.com/releases/2020/02/200225104951.htm,https://zookeys.pensoft.net/article/38348/,10.3897/zookeys.915.38348
213,https://www.sciencedaily.com/releases/2019/08/190830092111.htm,https://www.cell.com/current-biology/fulltext/S0960-9822(19)30879-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219308796%3Fshowall%3Dtrue,10.1016/j.cub.2019.07.034
225,https://www.newscientist.com/article/2131109-ladybirds-transparent-shell-reveals-how-it-folds-its-wings/,https://www.pnas.org/content/114/22/5624,10.1073/pnas.1620612114
227,https://phys.org/news/2017-05-slice-pizza-curvature-fish-fins.html,https://royalsocietypublishing.org/doi/10.1098/rsif.2017.0247,10.1098/rsif.2017.0247
228,https://news.illinois.edu/view/6367/537912,https://pubs.acs.org/doi/abs/10.1021/acsami.7b07060,10.1021/acsami.7b07060
242,https://www.sciencedaily.com/releases/2019/04/190422100945.htm,https://www.pnas.org/content/116/17/8149,10.1073/pnas.1815394116
243,https://www.sciencedaily.com/releases/2019/04/190429104736.htm,https://academic.oup.com/jxb/article/70/5/1613/5304599,10.1093/jxb/erz018
248,https://www.sciencedaily.com/releases/2019/04/190404143747.htm,https://www.cell.com/cell/fulltext/S0092-8674(19)30291-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867419302910%3Fshowall%3Dtrue,10.1016/j.cell.2019.03.029
249,https://www.sciencedaily.com/releases/2019/02/190225170231.htm,https://www.sciencedirect.com/science/article/pii/S146780391830183X?via%3Dihub,10.1016/j.asd.2018.12.004
